,size,avg,pr,slope,interaction
151,500,12.0,0.1,0.15592431995968956,distance
152,500,12.0,0.2,0.1373659237503629,random
153,500,12.0,0.2,0.1529846422927397,ordered
154,500,12.0,0.2,0.14431309271162646,degree
155,500,12.0,0.2,0.22710839469564723,distance
156,500,12.0,0.30000000000000004,0.219185455950417,random
157,500,12.0,0.30000000000000004,0.24080709693694255,ordered
158,500,12.0,0.30000000000000004,0.2200425810777899,degree
159,500,12.0,0.30000000000000004,0.29360335286988304,distance
160,500,12.0,0.4,0.287725354699946,random
161,500,12.0,0.4,0.31805042117425686,ordered
162,500,12.0,0.4,0.2864961759652973,degree
163,500,12.0,0.4,0.3529653447175275,distance
164,500,12.0,0.5,0.36112337748835677,random
165,500,12.0,0.5,0.40276144098723166,ordered
166,500,12.0,0.5,0.3538930992746231,degree
167,500,12.0,0.5,0.391377202868402,distance
168,500,12.0,0.0,0.00901255329731199,random
169,500,12.0,0.0,0.00903502860828347,ordered
170,500,12.0,0.0,0.010359501707852766,degree
171,500,12.0,0.0,0.008068324602716195,distance
172,500,12.0,0.1,0.07496630300276476,random
173,500,12.0,0.1,0.08645042525895723,ordered
174,500,12.0,0.1,0.07793584815671975,degree
175,500,12.0,0.1,0.14565713002191144,distance
176,500,12.0,0.2,0.15598096873549522,random
177,500,12.0,0.2,0.16630507118525778,ordered
178,500,12.0,0.2,0.15166527490420068,degree
179,500,12.0,0.2,0.2428278254498201,distance
180,500,12.0,0.30000000000000004,0.21771689025818525,random
181,500,12.0,0.30000000000000004,0.24550070052527156,ordered
182,500,12.0,0.30000000000000004,0.22262470212712762,degree
183,500,12.0,0.30000000000000004,0.30066553156053377,distance
184,500,12.0,0.4,0.297511655090825,random
185,500,12.0,0.4,0.33446754897721365,ordered
186,500,12.0,0.4,0.29606326332260374,degree
187,500,12.0,0.4,0.3539501682124523,distance
188,500,12.0,0.5,0.32633609633649646,random
189,500,12.0,0.5,0.37387339060020375,ordered
190,500,12.0,0.5,0.32924900599261997,degree
191,500,12.0,0.5,0.377723890616428,distance
192,500,14.0,0.0,0.007606258607007069,random
193,500,14.0,0.0,0.009302190622625921,ordered
194,500,14.0,0.0,0.009968983254143967,degree
195,500,14.0,0.0,0.007928244510344577,distance
196,500,14.0,0.1,0.0811025427693027,random
197,500,14.0,0.1,0.09134696502007181,ordered
198,500,14.0,0.1,0.08474856403005475,degree
199,500,14.0,0.1,0.16486054016917792,distance
200,500,14.0,0.2,0.1572732501736432,random
201,500,14.0,0.2,0.17231342021443158,ordered
202,500,14.0,0.2,0.1625299791338835,degree
203,500,14.0,0.2,0.2786329191710887,distance
204,500,14.0,0.30000000000000004,0.24448148838649802,random
205,500,14.0,0.30000000000000004,0.2654515137034505,ordered
206,500,14.0,0.30000000000000004,0.24503043049737233,degree
207,500,14.0,0.30000000000000004,0.3439776877921811,distance
208,500,14.0,0.4,0.3010570993265105,random
209,500,14.0,0.4,0.3386435226048661,ordered
210,500,14.0,0.4,0.2983483099226807,degree
211,500,14.0,0.4,0.37706016069825554,distance
