,size,avg,pc,cl,count_p,count_c,slope,interaction
311,500,13.76,0.85,0.2888463511822863,955,2496,0.2672315924280147,distance
312,500,13.768,0.9,0.3064502867775884,807,2644,0.22390246496247035,random
313,500,13.768,0.9,0.3064502867775884,807,2644,0.2519192732431704,ordered
314,500,13.768,0.9,0.3064502867775884,807,2644,0.22050455014596998,degree
315,500,13.768,0.9,0.3064502867775884,807,2644,0.23537608198206436,distance
316,500,13.788,0.95,0.35407054585508724,653,2798,0.12205280460477497,random
317,500,13.788,0.95,0.35407054585508724,653,2798,0.13191768665427275,ordered
318,500,13.788,0.95,0.35407054585508724,653,2798,0.14341423066450956,degree
319,500,13.788,0.95,0.35407054585508724,653,2798,0.13506628899657364,distance
320,500,13.784,1,0.418556143858852,524,2927,0.05973160156153083,random
321,500,13.784,1,0.418556143858852,524,2927,0.06583415124548828,ordered
322,500,13.784,1,0.418556143858852,524,2927,0.0831095569675103,degree
323,500,13.784,1,0.418556143858852,524,2927,0.05624837038692696,distance
324,500,13.804,0.0,0.07042515135544507,3451,0,0.37992392525062485,random
325,500,13.804,0.0,0.07042515135544507,3451,0,0.4369472212652258,ordered
326,500,13.804,0.0,0.07042515135544507,3451,0,0.3702150482068483,degree
327,500,13.804,0.0,0.07042515135544507,3451,0,0.37336443220889526,distance
328,500,13.74,0.2,0.1358630415078126,2881,570,0.36190370832369123,random
329,500,13.74,0.2,0.1358630415078126,2881,570,0.4164762672307159,ordered
330,500,13.74,0.2,0.1358630415078126,2881,570,0.3546149394004095,degree
331,500,13.74,0.2,0.1358630415078126,2881,570,0.3546114933692797,distance
332,500,13.724,0.4,0.18951806185317374,2257,1194,0.35623088857206847,random
333,500,13.724,0.4,0.18951806185317374,2257,1194,0.3987434901512681,ordered
334,500,13.724,0.4,0.18951806185317374,2257,1194,0.35324019615341373,degree
335,500,13.724,0.4,0.18951806185317374,2257,1194,0.34576988177028056,distance
336,500,13.708,0.6,0.225413138710848,1664,1787,0.3386103914741193,random
337,500,13.708,0.6,0.225413138710848,1664,1787,0.3740397403524012,ordered
338,500,13.708,0.6,0.225413138710848,1664,1787,0.3412901928219972,degree
339,500,13.708,0.6,0.225413138710848,1664,1787,0.32997680779968075,distance
340,500,13.752,0.8,0.2803766301066147,1102,2349,0.27812958794825704,random
341,500,13.752,0.8,0.2803766301066147,1102,2349,0.31099385076970626,ordered
