,size,avg,pc,cl,count_p,count_c,slope
941,613.0,23.429037520391518,0.8,0.2010093573902055,1979.0,5233.0,0.41027793426159204
942,613.0,23.468189233278956,0.85,0.21823673468085944,1622.0,5590.0,0.3667290497664134
943,613.0,23.474714518760194,0.9,0.23662338627083512,1334.0,5878.0,0.3611711558353762
944,613.0,23.491027732463294,0.95,0.26350613240776144,1018.0,6194.0,0.26241210318725144
945,613.0,23.523654159869494,1.0,0.3284818142067403,680.0,6532.0,0.10809608011411417
946,711.0,25.524613220815752,0.0,0.0909691334877811,9074.0,0.0,0.43451761521897597
947,711.0,25.37552742616034,0.2,0.12497626072222998,7458.0,1616.0,0.4197927716619441
948,711.0,25.254571026722925,0.4,0.15524727938070215,5735.0,3339.0,0.41643743979807246
949,711.0,25.355836849507735,0.6,0.17016727742590787,4076.0,4998.0,0.4210869871932581
950,711.0,25.445850914205344,0.8,0.18448489066598123,2398.0,6676.0,0.41590118571003654
951,711.0,25.40646976090014,0.85,0.202964231363832,2012.0,7062.0,0.39871525408886777
952,711.0,25.417721518987342,0.9,0.21037627942993953,1627.0,7447.0,0.39218776831451024
953,711.0,25.50210970464135,0.95,0.2654876388819876,1194.0,7880.0,0.2844823647228616
954,711.0,25.521800281293952,1.0,0.38079283512467377,797.0,8277.0,0.06902592667801552
955,522.0,11.862068965517242,0.0,0.07297889193008565,3096.0,0.0,0.3642926632606843
956,522.0,11.816091954022989,0.2,0.12652586863809057,2573.0,523.0,0.3422314809396341
957,522.0,11.800766283524904,0.4,0.19021628737503296,2085.0,1011.0,0.3311695371102646
958,522.0,11.804597701149426,0.6,0.23452521733783047,1563.0,1533.0,0.2973381888207891
959,522.0,11.831417624521073,0.8,0.2919320784338579,1062.0,2034.0,0.21334838629069086
960,522.0,11.82375478927203,0.85,0.3268965537383871,898.0,2198.0,0.1774718051880771
961,522.0,11.835249042145595,0.9,0.3275532352648459,796.0,2300.0,0.18723821308120095
962,522.0,11.846743295019158,0.95,0.361433882410219,652.0,2444.0,0.11464517507551489
963,522.0,11.846743295019158,1.0,0.39352638288571906,538.0,2558.0,0.0476202279969707
964,546.0,21.55677655677656,0.0,0.09610463515095856,5885.0,0.0,0.4183589325985119
965,546.0,21.395604395604394,0.2,0.13725774460383072,4821.0,1064.0,0.4205504187168283
966,546.0,21.32967032967033,0.4,0.17376474578554146,3759.0,2126.0,0.41064454052686206
967,546.0,21.35164835164835,0.6,0.19572644082140386,2764.0,3121.0,0.41178458096656545
968,546.0,21.428571428571427,0.8,0.21794380171985964,1607.0,4278.0,0.37827305951472495
969,546.0,21.468864468864467,0.85,0.22774790964409422,1389.0,4496.0,0.35945156306995113
970,546.0,21.498168498168496,0.9,0.24188665173082802,1121.0,4764.0,0.3359242621725214
971,546.0,21.523809523809526,0.95,0.2760584449756581,861.0,5024.0,0.24340299447082597
972,546.0,21.54945054945055,1.0,0.40949332840287367,605.0,5280.0,0.04803443477802433
973,750.0,40.824,0.0,0.12240766230288626,15309.0,0.0,0.429236146796493
974,750.0,40.496,0.2,0.17350472262073663,12434.0,2875.0,0.4383263483376439
975,750.0,40.25066666666667,0.4,0.20612942686392471,9528.0,5781.0,0.42737931465840157
976,750.0,40.269333333333336,0.6,0.19782259155515128,6726.0,8583.0,0.4401599719545806
977,750.0,40.544,0.8,0.17677230931827748,3725.0,11584.0,0.45118373041795523
978,750.0,40.562666666666665,0.85,0.1911266484249027,3092.0,12217.0,0.4460441617045537
979,750.0,40.64533333333333,0.9,0.208533686642313,2366.0,12943.0,0.4366018053663545
980,750.0,40.72266666666667,0.95,0.2516069431645969,1693.0,13616.0,0.35976914320898185
981,750.0,40.781333333333336,1.0,0.4182731335417221,1009.0,14300.0,0.11296442198251691
982,820.0,55.948780487804875,0.0,0.1385069694220322,22939.0,0.0,0.45749261743799596
983,820.0,55.25121951219512,0.2,0.19039897068114678,18494.0,4445.0,0.4371641594916641
984,820.0,55.051219512195125,0.4,0.210836395407109,14193.0,8746.0,0.4412465586508296
985,820.0,55.0609756097561,0.6,0.19242340727006363,9884.0,13055.0,0.4497350670057605
986,820.0,55.514634146341464,0.8,0.1749223731967815,5575.0,17364.0,0.4530118173755822
987,820.0,55.64878048780488,0.85,0.18105116138855445,4473.0,18466.0,0.4559585066250185
988,820.0,55.734146341463415,0.9,0.19461129176184783,3451.0,19488.0,0.4548108603535165
989,820.0,55.84878048780488,0.95,0.25481082360283686,2334.0,20605.0,0.4374234531757062
990,820.0,55.93414634146342,1.0,0.41364695561421483,1281.0,21658.0,0.10128063004679544
991,415.0,32.60722891566265,0.0,0.15038876245291977,6766.0,0.0,0.4463423629901152
992,415.0,32.21686746987952,0.2,0.18060941450746798,5488.0,1278.0,0.44336872077293255
993,415.0,32.149397590361446,0.4,0.20810014241922722,4250.0,2516.0,0.4330183576779934
994,415.0,32.23132530120482,0.6,0.20589823402195337,2936.0,3830.0,0.43272540146859145
995,415.0,32.22650602409639,0.8,0.2392268800930312,1807.0,4959.0,0.4255166729255889
996,415.0,32.40963855421687,0.85,0.23715263170318698,1480.0,5286.0,0.4351028904611394
997,415.0,32.433734939759034,0.9,0.2649275189745167,1189.0,5577.0,0.4195783387833429
998,415.0,32.506024096385545,0.95,0.2843956030458717,840.0,5926.0,0.34965915960327354
999,415.0,32.60722891566265,1.0,0.3923697611012966,554.0,6212.0,0.2227199280406659
1000,511.0,9.902152641878669,0.0,0.06005219721516557,2530.0,0.0,0.33274056160722565
1001,511.0,9.874755381604697,0.2,0.12070949675343494,2137.0,393.0,0.3060992156387666
1002,511.0,9.86692759295499,0.4,0.19437544151195044,1769.0,761.0,0.28642362663530857
1003,511.0,9.89041095890411,0.6,0.27329711246754457,1346.0,1184.0,0.26297175330978306
1004,511.0,9.886497064579256,0.8,0.3252908182471521,890.0,1640.0,0.20153353588738226
1005,511.0,9.874755381604697,0.85,0.36792457349248425,809.0,1721.0,0.172485273203454
1006,511.0,9.882583170254403,0.9,0.3856084780934714,730.0,1800.0,0.14057664558928581
1007,511.0,9.898238747553815,0.95,0.41422251913822133,625.0,1905.0,0.11995081643203462
1008,511.0,9.898238747553815,1.0,0.4260727803106275,518.0,2012.0,0.06543373910121106
1009,275.0,38.79272727272727,0.0,0.22945589848649564,5334.0,0.0,0.4423668979157222
1010,275.0,38.04363636363637,0.2,0.2902881023173279,4350.0,984.0,0.4570847476740618
1011,275.0,37.75272727272727,0.4,0.29796450902873733,3347.0,1987.0,0.45109132909758964
1012,275.0,37.767272727272726,0.6,0.2988992199073212,2338.0,2996.0,0.45934930257355067
1013,275.0,38.334545454545456,0.8,0.3021196633978955,1407.0,3927.0,0.4622187667037271
1014,275.0,38.42181818181818,0.85,0.3213423611224991,1138.0,4196.0,0.4509228376558626
1015,275.0,38.54545454545455,0.9,0.3512922613845729,966.0,4368.0,0.44932984640035345
1016,275.0,38.67636363636364,0.95,0.4229346036409316,739.0,4595.0,0.35986331372203495
1017,275.0,38.67636363636364,1.0,0.5634992360059512,522.0,4812.0,0.20304935496489485
1018,130.0,21.784615384615385,0.0,0.2670822991060246,1416.0,0.0,0.4478393601253499
