,size,avg,pr,slope
149,919.0,32.0,0.5,0.44652710362804326
150,919.0,32.0,0.6000000000000001,0.47618264373256614
151,919.0,32.0,0.7000000000000001,0.48005375714198417
152,919.0,32.0,0.8,0.485569958433285
153,919.0,32.0,0.9,0.4724011134810304
154,919.0,32.0,1.0,0.4833002263858922
155,191.0,24.0,0.0,0.029850064600653294
156,191.0,24.0,0.1,0.12030526144605765
157,191.0,24.0,0.2,0.2258380839419555
158,191.0,24.0,0.30000000000000004,0.31279356715126705
159,191.0,24.0,0.4,0.3891401050976013
160,191.0,24.0,0.5,0.46242017017065
161,191.0,24.0,0.6000000000000001,0.47673428439648563
162,191.0,24.0,0.7000000000000001,0.4844974141779795
163,191.0,24.0,0.8,0.4755063266696424
164,191.0,24.0,0.9,0.48086744481257304
165,191.0,24.0,1.0,0.4841073714961451
166,929.0,8.0,0.0,0.007060525189284998
167,929.0,8.0,0.1,0.05940623573683218
168,929.0,8.0,0.2,0.11418120110755603
169,929.0,8.0,0.30000000000000004,0.15374402877310017
170,929.0,8.0,0.4,0.2168837496016589
171,929.0,8.0,0.5,0.26749893416894593
172,929.0,8.0,0.6000000000000001,0.2921849292843641
173,929.0,8.0,0.7000000000000001,0.3227659429923978
174,929.0,8.0,0.8,0.3327056215195486
175,929.0,8.0,0.9,0.3359422311685294
176,929.0,8.0,1.0,0.3315170014048916
177,555.0,28.0,0.0,0.01054677377695096
178,555.0,28.0,0.1,0.10548669291754217
179,555.0,28.0,0.2,0.20032695810494183
180,555.0,28.0,0.30000000000000004,0.2961214110560453
181,555.0,28.0,0.4,0.38048295678335603
182,555.0,28.0,0.5,0.4424836543621734
183,555.0,28.0,0.6000000000000001,0.477996999258176
184,555.0,28.0,0.7000000000000001,0.47795338451665687
185,555.0,28.0,0.8,0.48319554100587003
186,555.0,28.0,0.9,0.4828532755466437
187,555.0,28.0,1.0,0.4715296212896349
188,559.0,46.0,0.0,0.0148109938695484
189,559.0,46.0,0.1,0.12243348498416573
190,559.0,46.0,0.2,0.21406031877477866
191,559.0,46.0,0.30000000000000004,0.3110835988723062
192,559.0,46.0,0.4,0.41211323510102443
193,559.0,46.0,0.5,0.47931069517649927
194,559.0,46.0,0.6000000000000001,0.49096071391669105
195,559.0,46.0,0.7000000000000001,0.488160815521628
196,559.0,46.0,0.8,0.4992264985994673
197,559.0,46.0,0.9,0.48855061455158993
198,559.0,46.0,1.0,0.4815834774072919
199,706.0,8.0,0.0,0.008556055832721125
200,706.0,8.0,0.1,0.061994186572847075
201,706.0,8.0,0.2,0.10421246296522875
202,706.0,8.0,0.30000000000000004,0.16914489025520307
203,706.0,8.0,0.4,0.22091427093651633
204,706.0,8.0,0.5,0.25770978063120376
205,706.0,8.0,0.6000000000000001,0.28985805403681797
206,706.0,8.0,0.7000000000000001,0.31789847527167286
207,706.0,8.0,0.8,0.3312854302043447
208,706.0,8.0,0.9,0.3319125314851773
209,706.0,8.0,1.0,0.33434986262340605
210,904.0,30.0,0.0,0.010323667714298658
211,904.0,30.0,0.1,0.10494812639353726
212,904.0,30.0,0.2,0.19277473741389117
213,904.0,30.0,0.30000000000000004,0.28576764977655605
214,904.0,30.0,0.4,0.3684413161305759
215,904.0,30.0,0.5,0.45102999588710624
216,904.0,30.0,0.6000000000000001,0.4803267577427685
217,904.0,30.0,0.7000000000000001,0.4790600605351692
218,904.0,30.0,0.8,0.4831985352220218
219,904.0,30.0,0.9,0.4863636560325477
220,904.0,30.0,1.0,0.48161443885286515
221,790.0,52.0,0.0,0.01838864525410408
222,790.0,52.0,0.1,0.1155849219222641
223,790.0,52.0,0.2,0.21264693612986005
224,790.0,52.0,0.30000000000000004,0.3153957823780583
225,790.0,52.0,0.4,0.40775772936144206
226,790.0,52.0,0.5,0.47994346273277627
227,790.0,52.0,0.6000000000000001,0.4845466069978889
228,790.0,52.0,0.7000000000000001,0.4949760819529093
229,790.0,52.0,0.8,0.4918799353591751
230,790.0,52.0,0.9,0.4898129505440633
231,790.0,52.0,1.0,0.48889651559333347
232,108.0,18.0,0.0,0.05324603403421187
233,108.0,18.0,0.1,0.13076531701810554
234,108.0,18.0,0.2,0.25059309108488437
235,108.0,18.0,0.30000000000000004,0.3490125688543032
236,108.0,18.0,0.4,0.4041295174643924
237,108.0,18.0,0.5,0.4516597150970412
238,108.0,18.0,0.6000000000000001,0.47766317281516874
239,108.0,18.0,0.7000000000000001,0.4890934976674802
240,108.0,18.0,0.8,0.47317836063327723
241,108.0,18.0,0.9,0.47824017386871887
242,108.0,18.0,1.0,0.4817183235830155
243,524.0,6.0,0.0,0.008453927442774772
244,524.0,6.0,0.1,0.050605318499019655
245,524.0,6.0,0.2,0.08476108602848922
246,524.0,6.0,0.30000000000000004,0.13729056686172564
247,524.0,6.0,0.4,0.17442108562909547
248,524.0,6.0,0.5,0.20301268420631086
249,524.0,6.0,0.6000000000000001,0.23377802905549133
250,524.0,6.0,0.7000000000000001,0.24702937923081686
251,524.0,6.0,0.8,0.25751755805224885
252,524.0,6.0,0.9,0.25973869664917004
253,524.0,6.0,1.0,0.2544305412852925
254,667.0,48.0,0.0,0.016478666453264998
255,667.0,48.0,0.1,0.11173535576742
256,667.0,48.0,0.2,0.21322935789522238
257,667.0,48.0,0.30000000000000004,0.30510911212002173
258,667.0,48.0,0.4,0.40208264525159576
259,667.0,48.0,0.5,0.477631840575122
260,667.0,48.0,0.6000000000000001,0.48640578433010406
261,667.0,48.0,0.7000000000000001,0.4886521874779553
262,667.0,48.0,0.8,0.48415570925092577
263,667.0,48.0,0.9,0.49184875617863
264,667.0,48.0,1.0,0.49367344152390136
265,597.0,28.0,0.0,0.01190222356917518
266,597.0,28.0,0.1,0.10249032308868362
267,597.0,28.0,0.2,0.19800446808872169
268,597.0,28.0,0.30000000000000004,0.29132174250655446
269,597.0,28.0,0.4,0.37294131517580903
270,597.0,28.0,0.5,0.4518550689824289
271,597.0,28.0,0.6000000000000001,0.4756417481503189
272,597.0,28.0,0.7000000000000001,0.4782638300267762
273,597.0,28.0,0.8,0.47668481018819425
274,597.0,28.0,0.9,0.4751301075667924
275,597.0,28.0,1.0,0.4790905378660333
276,104.0,36.0,0.0,0.1998841805198104
277,104.0,36.0,0.1,0.29972158772033075
278,104.0,36.0,0.2,0.4128554412430126
279,104.0,36.0,0.30000000000000004,0.4879362788436393
280,104.0,36.0,0.4,0.5019232343329638
281,104.0,36.0,0.5,0.5042864743355302
282,104.0,36.0,0.6000000000000001,0.4970539932185131
283,104.0,36.0,0.7000000000000001,0.5073482985953326
284,104.0,36.0,0.8,0.5056345617651345
285,104.0,36.0,0.9,0.5180938358704971
286,104.0,36.0,1.0,0.5036029051206369
287,898.0,18.0,0.0,0.007424256202327895
288,898.0,18.0,0.1,0.08829378297608467
289,898.0,18.0,0.2,0.1698356170418654
290,898.0,18.0,0.30000000000000004,0.2578522442971808
291,898.0,18.0,0.4,0.32699614008223377
292,898.0,18.0,0.5,0.39811126121294726
293,898.0,18.0,0.6000000000000001,0.43911558446045956
294,898.0,18.0,0.7000000000000001,0.45481453314631937
295,898.0,18.0,0.8,0.4572086224666599
296,898.0,18.0,0.9,0.4519345586533506
297,898.0,18.0,1.0,0.45852512418563085
298,902.0,44.0,0.0,0.009500889649828564
299,902.0,44.0,0.1,0.10832303327026331
300,902.0,44.0,0.2,0.20603513840656315
301,902.0,44.0,0.30000000000000004,0.29744385625942693
302,902.0,44.0,0.4,0.3948354083603819
303,902.0,44.0,0.5,0.4738317347921181
304,902.0,44.0,0.6000000000000001,0.4874623915705708
305,902.0,44.0,0.7000000000000001,0.49116483776235687
306,902.0,44.0,0.8,0.4924434906240721
307,902.0,44.0,0.9,0.49313535195233565
308,902.0,44.0,1.0,0.4884455353948943
309,384.0,40.0,0.0,0.023696102008718075
310,384.0,40.0,0.1,0.12345365484797825
311,384.0,40.0,0.2,0.23419891478938865
312,384.0,40.0,0.30000000000000004,0.32637364577788974
313,384.0,40.0,0.4,0.41592698139861844
314,384.0,40.0,0.5,0.4819675053220699
315,384.0,40.0,0.6000000000000001,0.4958946362421619
316,384.0,40.0,0.7000000000000001,0.493514486834209
317,384.0,40.0,0.8,0.48686498029110475
318,384.0,40.0,0.9,0.48871173815501195
319,384.0,40.0,1.0,0.4971649685699739
320,873.0,18.0,0.0,0.010378005952861992
321,873.0,18.0,0.1,0.08215996822458804
322,873.0,18.0,0.2,0.16916440607673205
323,873.0,18.0,0.30000000000000004,0.25758726441595925
324,873.0,18.0,0.4,0.3182145545456345
325,873.0,18.0,0.5,0.3954913995360929
326,873.0,18.0,0.6000000000000001,0.4414406274476338
327,873.0,18.0,0.7000000000000001,0.45829148164153927
328,873.0,18.0,0.8,0.4587869495153304
329,873.0,18.0,0.9,0.4603167706098402
330,873.0,18.0,1.0,0.4533465060472707
331,910.0,14.0,0.0,0.008373913151084886
332,910.0,14.0,0.1,0.08493897109223436
333,910.0,14.0,0.2,0.1545804182711346
334,910.0,14.0,0.30000000000000004,0.22075217571359812
335,910.0,14.0,0.4,0.30502753172671204
336,910.0,14.0,0.5,0.3662802004754432
337,910.0,14.0,0.6000000000000001,0.4139501254201973
338,910.0,14.0,0.7000000000000001,0.4332137643969268
339,910.0,14.0,0.8,0.4390294858763835
340,910.0,14.0,0.9,0.437558105779322
341,910.0,14.0,1.0,0.44174561980760185
342,603.0,40.0,0.0,0.013609843081093056
343,603.0,40.0,0.1,0.10890248734364913
344,603.0,40.0,0.2,0.20626494184394395
345,603.0,40.0,0.30000000000000004,0.3092713704807452
346,603.0,40.0,0.4,0.4032329519183503
347,603.0,40.0,0.5,0.4715607616605251
348,603.0,40.0,0.6000000000000001,0.4875876334382382
349,603.0,40.0,0.7000000000000001,0.4730220016963801
350,603.0,40.0,0.8,0.48222750886888005
351,603.0,40.0,0.9,0.4852357069922054
352,603.0,40.0,1.0,0.4900315428617962
353,475.0,24.0,0.0,0.012363335790679995
354,475.0,24.0,0.1,0.10179097363964251
355,475.0,24.0,0.2,0.2003952825220549
356,475.0,24.0,0.30000000000000004,0.2813183623693619
357,475.0,24.0,0.4,0.37812569914794114
358,475.0,24.0,0.5,0.42969220710951034
359,475.0,24.0,0.6000000000000001,0.471498015821399
360,475.0,24.0,0.7000000000000001,0.47619120498140954
361,475.0,24.0,0.8,0.4738652522245306
362,475.0,24.0,0.9,0.47584480145782637
363,475.0,24.0,1.0,0.47208742575771445
364,983.0,34.0,0.0,0.009138117711956254
365,983.0,34.0,0.1,0.10145717050955813
366,983.0,34.0,0.2,0.19474059453924367
367,983.0,34.0,0.30000000000000004,0.28973194969273885
368,983.0,34.0,0.4,0.37635778718903057
369,983.0,34.0,0.5,0.4548702529189786
370,983.0,34.0,0.6000000000000001,0.4732315009941037
371,983.0,34.0,0.7000000000000001,0.47686636456405845
372,983.0,34.0,0.8,0.47642601446999444
373,983.0,34.0,0.9,0.4819845002884445
374,983.0,34.0,1.0,0.48106685614392763
375,522.0,36.0,0.0,0.01864772841528568
376,522.0,36.0,0.1,0.11463721205449855
377,522.0,36.0,0.2,0.20232081718098466
378,522.0,36.0,0.30000000000000004,0.30510403824252574
379,522.0,36.0,0.4,0.3983579006940466
380,522.0,36.0,0.5,0.4675813582435032
381,522.0,36.0,0.6000000000000001,0.4817382014588114
382,522.0,36.0,0.7000000000000001,0.4828998217314065
383,522.0,36.0,0.8,0.49053755179871156
384,522.0,36.0,0.9,0.4964191898598783
385,522.0,36.0,1.0,0.4899224801541401
386,883.0,18.0,0.0,0.00874952649702131
387,883.0,18.0,0.1,0.08772840767540087
388,883.0,18.0,0.2,0.1763163290862036
389,883.0,18.0,0.30000000000000004,0.2570149706742134
390,883.0,18.0,0.4,0.34044381562514714
391,883.0,18.0,0.5,0.3942410947710339
392,883.0,18.0,0.6000000000000001,0.4442466288094086
393,883.0,18.0,0.7000000000000001,0.452956493612255
394,883.0,18.0,0.8,0.4621492277881306
395,883.0,18.0,0.9,0.4599885557087705
396,883.0,18.0,1.0,0.46237814779991904
397,995.0,20.0,0.0,0.008867449385946375
398,995.0,20.0,0.1,0.08826599685926574
399,995.0,20.0,0.2,0.1736339601229226
400,995.0,20.0,0.30000000000000004,0.25646417690694756
401,995.0,20.0,0.4,0.33228235066445794
402,995.0,20.0,0.5,0.40880080378204536
403,995.0,20.0,0.6000000000000001,0.45943519494334284
404,995.0,20.0,0.7000000000000001,0.46297571607934956
405,995.0,20.0,0.8,0.46437246911430796
406,995.0,20.0,0.9,0.4618828750583523
407,995.0,20.0,1.0,0.4737686085168373
408,392.0,18.0,0.0,0.014381451395686673
409,392.0,18.0,0.1,0.09507777213647281
410,392.0,18.0,0.2,0.17883536245992812
411,392.0,18.0,0.30000000000000004,0.2489769644931506
412,392.0,18.0,0.4,0.3456903742365294
413,392.0,18.0,0.5,0.424687520787322
414,392.0,18.0,0.6000000000000001,0.4447203204901684
415,392.0,18.0,0.7000000000000001,0.45834328337000285
416,392.0,18.0,0.8,0.46052604808386766
417,392.0,18.0,0.9,0.4611124914663939
418,392.0,18.0,1.0,0.4632224134522464
419,266.0,34.0,0.0,0.030369459347446958
420,266.0,34.0,0.1,0.12279377827682425
421,266.0,34.0,0.2,0.2402230862786932
422,266.0,34.0,0.30000000000000004,0.3003878824211573
423,266.0,34.0,0.4,0.432303852320997
424,266.0,34.0,0.5,0.47482748946041536
425,266.0,34.0,0.6000000000000001,0.5008606168507792
426,266.0,34.0,0.7000000000000001,0.4965638644019951
427,266.0,34.0,0.8,0.49911924956449527
428,266.0,34.0,0.9,0.4891488638986183
429,266.0,34.0,1.0,0.4874358351529556
430,128.0,36.0,0.0,0.1351193019814229
431,128.0,36.0,0.1,0.2520706633904338
432,128.0,36.0,0.2,0.34097200286445917
433,128.0,36.0,0.30000000000000004,0.43592618990411136
434,128.0,36.0,0.4,0.5027888443682871
435,128.0,36.0,0.5,0.49843761269614983
436,128.0,36.0,0.6000000000000001,0.5041834617515362
437,128.0,36.0,0.7000000000000001,0.5142294566601489
438,128.0,36.0,0.8,0.49516077383755464
439,128.0,36.0,0.9,0.5093637611384267
440,128.0,36.0,1.0,0.5114975363589637
441,459.0,6.0,0.0,0.007190327890751171
442,459.0,6.0,0.1,0.044219603764426144
443,459.0,6.0,0.2,0.10033445409358914
444,459.0,6.0,0.30000000000000004,0.13490369536924068
445,459.0,6.0,0.4,0.16033273282706345
446,459.0,6.0,0.5,0.21416192166439693
447,459.0,6.0,0.6000000000000001,0.24265302232577407
448,459.0,6.0,0.7000000000000001,0.24808075378355565
449,459.0,6.0,0.8,0.2614998842373047
450,459.0,6.0,0.9,0.25223263666895823
451,459.0,6.0,1.0,0.2570057755098422
452,694.0,58.0,0.0,0.01713739915683359
453,694.0,58.0,0.1,0.11825706007063985
454,694.0,58.0,0.2,0.22027934999366394
455,694.0,58.0,0.30000000000000004,0.3227467253083825
456,694.0,58.0,0.4,0.44163914217470523
457,694.0,58.0,0.5,0.48200211567491547
458,694.0,58.0,0.6000000000000001,0.4958366369726795
459,694.0,58.0,0.7000000000000001,0.4930410121705539
460,694.0,58.0,0.8,0.49898738153914585
461,694.0,58.0,0.9,0.49573312290566
462,694.0,58.0,1.0,0.48844665190842
463,862.0,44.0,0.0,0.011030321448116337
464,862.0,44.0,0.1,0.11206516197945673
465,862.0,44.0,0.2,0.2102123883422069
466,862.0,44.0,0.30000000000000004,0.3035454322144048
467,862.0,44.0,0.4,0.3923302012097221
468,862.0,44.0,0.5,0.46476197965613447
469,862.0,44.0,0.6000000000000001,0.48444474396934856
470,862.0,44.0,0.7000000000000001,0.48988305018353184
471,862.0,44.0,0.8,0.482319083571001
472,862.0,44.0,0.9,0.4938527231380626
473,862.0,44.0,1.0,0.49064441179552337
474,236.0,32.0,0.0,0.033175370447853146
475,236.0,32.0,0.1,0.13635413024982473
476,236.0,32.0,0.2,0.23881164334060948
477,236.0,32.0,0.30000000000000004,0.3384542654595353
478,236.0,32.0,0.4,0.43198783709847544
479,236.0,32.0,0.5,0.4810277289046591
480,236.0,32.0,0.6000000000000001,0.4903136630134039
481,236.0,32.0,0.7000000000000001,0.488047843653609
482,236.0,32.0,0.8,0.4949562915761736
483,236.0,32.0,0.9,0.49322471908239673
484,236.0,32.0,1.0,0.4894637164887293
485,443.0,38.0,0.0,0.023608307502866722
486,443.0,38.0,0.1,0.1211489865250042
487,443.0,38.0,0.2,0.20498174513763628
488,443.0,38.0,0.30000000000000004,0.3176777239215728
489,443.0,38.0,0.4,0.4058588909905108
490,443.0,38.0,0.5,0.4818792271867345
491,443.0,38.0,0.6000000000000001,0.48160507100606986
492,443.0,38.0,0.7000000000000001,0.4947811296614866
493,443.0,38.0,0.8,0.4874806290226548
494,443.0,38.0,0.9,0.4797231083620711
495,443.0,38.0,1.0,0.4902784441017828
496,378.0,30.0,0.0,0.016354753102719506
497,378.0,30.0,0.1,0.11246712854205645
498,378.0,30.0,0.2,0.21640375468814152
499,378.0,30.0,0.30000000000000004,0.3000634666081704
500,378.0,30.0,0.4,0.3828929342401279
501,378.0,30.0,0.5,0.45945083317243574
502,378.0,30.0,0.6000000000000001,0.479652045458522
503,378.0,30.0,0.7000000000000001,0.4847794425358119
504,378.0,30.0,0.8,0.4799788220118929
505,378.0,30.0,0.9,0.4837030567716679
506,378.0,30.0,1.0,0.47481579491111264
507,736.0,56.0,0.0,0.015833886504824576
508,736.0,56.0,0.1,0.11978135811085378
509,736.0,56.0,0.2,0.2185675463729282
510,736.0,56.0,0.30000000000000004,0.3136429448960654
511,736.0,56.0,0.4,0.417184057263212
