,size,p,avg,slope
18,578.0,0.07333110925472527,42.391003460207614,0.4827495770858693
19,803.0,0.03876095439983167,31.2453300124533,0.48469187752875376
20,760.0,0.06436206110575411,49.171052631578945,0.494077079771355
21,853.0,0.044066616233265465,37.141852286049236,0.4842984460714198
22,475.0,0.05404839651417549,25.894736842105264,0.4698455988137556
23,227.0,0.18989021709379833,42.40528634361233,0.4909720653298938
24,922.0,0.0680869369917897,63.23644251626898,0.48954542650699634
25,722.0,0.05306910753389575,37.69806094182825,0.480754065487724
26,412.0,0.054059389429418465,22.131067961165048,0.47480845373407937
27,231.0,0.2310723671004301,52.77922077922078,0.49996407935325615
28,441.0,0.036730623801405876,16.068027210884352,0.42351430505324145
29,271.0,0.18583813681004963,49.48339483394834,0.4978678440206642
30,203.0,0.07500435302565606,15.428571428571429,0.4352306290306247
31,660.0,0.0114618735448626,7.678787878787879,0.2513792752099176
32,128.0,0.061469688040006215,7.703125,0.3073539262780298
33,210.0,0.22572492039092884,47.4,0.49486024729748257
34,247.0,0.05214237204817108,13.19838056680162,0.42512970629282226
35,829.0,0.06243155893213832,51.29794933655006,0.48807416468055537
36,385.0,0.08822603380575636,33.823376623376625,0.47552298086389017
37,862.0,0.018668414068512384,16.17633410672854,0.435204669915566
38,626.0,0.0669333345350434,41.7444089456869,0.47549547793721975
39,276.0,0.14358389803238047,40.17391304347826,0.4947713264285441
40,738.0,0.03976382690503137,29.772357723577237,0.4786469867352136
41,505.0,0.055014918345642455,28.003960396039602,0.4817628314908024
42,727.0,0.010599456323243198,7.53232462173315,0.26062433640389565
43,335.0,0.12098081624378303,41.038805970149255,0.49235317987137905
44,227.0,0.11467738872088183,25.797356828193834,0.48097689956924583
45,951.0,0.056797757199385394,53.97055730809674,0.49063197255748525
46,915.0,0.07021586570259675,64.37158469945355,0.4941868393763956
47,600.0,0.04647091595211833,28.0,0.48249438429078034
48,856.0,0.00947266084863478,8.245327102803738,0.2852922479476714
49,312.0,0.16476715511366946,52.23717948717949,0.4941012344066168
50,823.0,0.05699999005574955,46.72660996354799,0.49421845536017034
51,519.0,0.04630561011371202,24.13872832369942,0.4686809813005842
52,753.0,0.052637948479807725,39.37317397078353,0.4888044513149953
53,474.0,0.025553145707744425,11.974683544303797,0.40184771196971864
54,826.0,0.06074139288260871,50.539951573849876,0.4918398868464425
55,575.0,0.033434652880970334,18.862608695652174,0.4520782115755207
56,169.0,0.15580103647066978,26.011834319526628,0.4904158320382187
57,705.0,0.04247135615567566,29.639716312056738,0.47742809714535095
58,747.0,0.07504355518610754,55.30923694779116,0.4922075810029285
59,551.0,0.06182530497268057,34.45009074410164,0.4818994759846083
60,399.0,0.1258395822907987,50.96741854636591,0.49731910056724155
61,208.0,0.1543404457244036,30.971153846153847,0.4842704553310542
62,517.0,0.05942779225431871,30.684719535783366,0.47527953625453023
63,561.0,0.06674469540957388,37.5222816399287,0.48680050029579097
64,170.0,0.196155312076,32.68235294117647,0.4987080369092479
65,520.0,0.10168725899504254,52.53846153846154,0.49540139272468864
66,781.0,0.06076348369374835,47.807938540332906,0.48272179940988835
67,376.0,0.134100018237287,49.72872340425532,0.4906782314903085
68,385.0,0.019202220479653382,7.45974025974026,0.2509145310509224
69,316.0,0.06625856405783484,20.89873417721519,0.4742849046689618
70,294.0,0.13257266145140462,38.31292517006803,0.4938709224575472
71,915.0,0.036806563701575236,33.256830601092894,0.4791875632468421
72,153.0,0.307230220711706,47.111111111111114,0.5104771177957621
73,899.0,0.0157622213855469,13.632925472747496,0.4201948829493386
74,663.0,0.030405999360519378,19.900452488687783,0.4520640024143126
75,253.0,0.10056990025261044,25.130434782608695,0.4795263992870778
76,865.0,0.035110207051861,30.240462427745666,0.47617923050053745
77,165.0,0.273665549331,45.903030303030306,0.5042582543144987
78,697.0,0.05578403612791255,38.80918220946916,0.485932188134235
79,745.0,0.02007014442950615,14.660402684563758,0.421649046630043
80,984.0,0.049834866386153386,49.22154471544715,0.48781535716781743
81,861.0,0.04326689140535453,36.954703832752614,0.4792882798546378
82,251.0,0.1811273252766454,44.78087649402391,0.5043815372127023
83,825.0,0.07674727604360491,63.13939393939394,0.4929217031153897
84,402.0,0.021744685873187813,9.00497512437811,0.30157965575767065
85,946.0,0.06600837242442129,62.43128964059196,0.4974428445420086
86,856.0,0.047847496636568405,40.96261682242991,0.4854782812095643
87,830.0,0.028853273840991504,23.826506024096386,0.46270798677862535
88,277.0,0.13639426528554344,37.36462093862816,0.47231382786421616
89,515.0,0.07160533808510114,36.45825242718447,0.4782501230253639
90,149.0,0.13847133685151025,21.42281879194631,0.4799231401538856
91,416.0,0.03769659320042828,16.052884615384617,0.44551953664223226
92,262.0,0.1755904514645259,46.786259541984734,0.49918551848469067
93,770.0,0.05477416976815187,41.81558441558442,0.4890317698544373
94,890.0,0.043644397496369024,39.157303370786515,0.4799965269574722
95,909.0,0.03173845372449655,29.11991199119912,0.4766045059405899
96,136.0,0.2902523326155492,39.05882352941177,0.5043614553376133
97,917.0,0.010786592180260854,9.77535441657579,0.34844293156746914
98,634.0,0.07018471610457695,44.26813880126183,0.48713916770998766
99,522.0,0.02319595318880767,11.89272030651341,0.3892207333845992
100,302.0,0.16621716708440976,50.609271523178805,0.49259162746441854
101,297.0,0.11942712112610174,35.50841750841751,0.484275980787135
102,569.0,0.013236893132306585,7.434094903339192,0.2398589291272001
103,778.0,0.04475480011124756,34.91002570694087,0.48097687044192783
104,538.0,0.0787721052644132,42.84014869888476,0.4853914936827482
105,621.0,0.09513908855228972,58.71497584541063,0.49375502168187174
106,549.0,0.05494561494291182,30.174863387978142,0.4817053454039377
107,830.0,0.05368410927106988,44.28915662650602,0.48545370789855813
108,800.0,0.03786713044575777,30.5075,0.4794281093119269
109,942.0,0.02913981656541404,27.205944798301488,0.47281123038765804
110,108.0,0.21280492666286147,22.37037037037037,0.48501003283642835
111,915.0,0.03300461846247117,29.91256830601093,0.4771683533265336
112,732.0,0.023954482194555475,17.75409836065574,0.445269142242325
